지점,지점명,일시,평균기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),평균 전운량(1/10)
192,진주,2012-09-02,23.4,,2.7,.9,78.6,10.3,2.97,20.45,,3.3
192,진주,2012-09-03,22.8,,2.7,.9,80.9,7.3,2.71,15.67,,4
192,진주,2012-09-04,23.2,9.5,3.3,1.1,87.4,5.6,2.6,13.14,,7.1
192,진주,2012-09-05,24,10.5,3.2,1.2,82.6,7.4,2.41,15.93,,5.6
192,진주,2012-09-06,22.1,,2.6,.9,72.5,11.3,2.87,21.72,,1.4
192,진주,2012-09-07,22.5,7.5,2.8,1,81,5.7,2.64,15.5,,7
192,진주,2012-09-08,23.3,140.5,6.2,1.4,81.1,6.6,2.96,16.82,,8.4
192,진주,2012-09-09,19.7,23,2,.8,92.3,0,1.01,4.05,,9.9
192,진주,2012-09-10,20.8,19.5,3.4,1.3,80.9,8.1,2.78,18.23,,6.3
192,진주,2012-09-11,20.9,,3.1,1,77,10.9,3.12,21.98,,2.6
192,진주,2012-09-12,21.3,,2,.8,77.5,9,2.98,18.68,,5.5
192,진주,2012-09-13,22.4,.3,1.8,.8,81.4,2.1,1.45,8.41,,9
192,진주,2012-09-14,21.7,4,2.7,1.2,81.4,2.1,2.24,10.65,,10
192,진주,2012-09-15,20.2,1.5,3.3,1.4,80.9,.8,2.09,9.34,,10
192,진주,2012-09-16,18.7,83,4.6,2,93.1,0,.63,2.6,,10
192,진주,2012-09-17,19.9,147,9.1,3.3,86,1.8,1.16,3.67,,7.8
192,진주,2012-09-18,20.1,,3.5,1,77.3,6.8,2.63,14.8,,6.1
192,진주,2012-09-19,19,,4.2,1.2,77.6,9.6,3.01,20.16,,2.8
192,진주,2012-09-20,18.4,,2.1,.8,75.4,10,2.96,19.29,,1.4
192,진주,2012-09-21,18.4,,1.9,.7,78.8,9,2.76,16.36,,4
192,진주,2012-09-22,18.5,,2.5,.7,77.5,11,2.69,17.94,,3.9
192,진주,2012-09-23,19,,3.3,.9,76,8.9,2.71,17.04,,2
192,진주,2012-09-24,18.7,,3.2,.9,72.6,10.8,2.83,20.18,,1.1
192,진주,2012-09-25,18.3,,3.6,1.1,73.5,10.2,2.91,19.08,,1.3
192,진주,2012-09-26,18.2,,3,.9,75.1,9,2.9,17.71,,5
192,진주,2012-09-27,19,,2.6,.9,77.6,6,2.93,14.75,,5.6
192,진주,2012-09-28,19.1,,2.5,.9,76,7.1,,,,4.6
192,진주,2012-09-29,16.5,,3.2,.9,67.5,9.8,,,,2.9
192,진주,2012-09-30,15.8,,3.4,1,68.9,9.2,,,,3.5
192,진주,2012-10-01,17.1,,2.3,.7,73.1,10.3,,,,3.5
192,진주,2012-10-02,17.8,,3.5,.8,73.5,10.2,,7.25,,2.4
192,진주,2012-10-03,17.1,,3.4,1,71.8,10.1,2.77,19.24,,3.1
192,진주,2012-10-04,16.7,,2.1,.8,70.8,10.7,2.81,19.26,,1.1
192,진주,2012-10-05,16.8,,1.4,.5,82.5,2.4,1.46,9.58,,7.4
192,진주,2012-10-06,17.8,,2.8,.8,76.5,5.4,2.46,12.96,,4.4
192,진주,2012-10-07,16.3,,3.4,1.1,65.9,10.6,2.69,18.43,,1
192,진주,2012-10-08,14.4,,3.5,.9,71.6,10.6,2.86,17.35,,2.3
192,진주,2012-10-09,14.1,,2.7,.6,76.3,9,2.17,14.7,,4.9
192,진주,2012-10-10,15.6,,2.1,.7,75.1,9.6,2.28,15.3,,2.3
192,진주,2012-10-11,13.6,,3.6,1,65.1,10.6,2.77,18.78,,0
192,진주,2012-10-12,12.6,,2.8,.7,68.6,10.6,2.69,17.54,,1.6
